上传图像,处理后的图像,检测结果,flag,username,timestamp
flagged\上传图像\23724c02ce419ff6578f\微信图片_20250406152555.jpg,,,,,2025-04-09 15:40:32.463869
flagged\上传图像\e75d72864100d8e368eb\微信图片_202504061525551.jpg,,,,,2025-04-17 16:36:42.575630
